"sample.group"	"dataseries"	"sampleID"	"sample.id"	"original.NGS"	"original.NGS.FN"	"NGS"	"timepoint"	"FASTQ"	"comp_1"	"comp_2"	"comp_3"	"comp_4"	"comp_5"	"comp_6"	"comp_7"	"comp_8"	"f_replicate"	"f_Treatment"	"f_CellType"	"LRT_CellType"	"LRT_Treatment"	"dataseries_color"	"sample.group_color"
"Chem_NonGliaBAC"	"Chem"	"PRO738A16"	"Chem_NonGliaBAC_4"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A16_S28_L002_R1_001.fastq.gz"	"PRO738A16_S28_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_NonGliaBAC_4_R1.fastq.gz"	8	"Chem_NonGliaBAC_4"	""	""	""	""	""	""	"2_Chem_NonGliaBAC"	""	4	"Chem"	"NonGlia"	"NonGlia"	"Chem"	"#F8766D"	"#7CAE00"
"Chem_NonGliaCtrl"	"Chem"	"PRO738A2"	"Chem_NonGliaCtrl_1"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A2_S14_L002_R1_001.fastq.gz"	"PRO738A2_S14_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_NonGliaCtrl_1_R1.fastq.gz"	6	"Chem_NonGliaCtrl_1"	""	""	""	""	""	"2_Chem_NonGliaCtrl"	""	""	1	"Chem"	"NonGlia"	"NonGlia"	"Chem"	"#F8766D"	"#00BE67"
"Chem_NonGliaCtrl"	"Chem"	"PRO738A4"	"Chem_NonGliaCtrl_2"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A4_S16_L002_R1_001.fastq.gz"	"PRO738A4_S16_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_NonGliaCtrl_2_R1.fastq.gz"	6	"Chem_NonGliaCtrl_2"	""	""	""	""	""	"2_Chem_NonGliaCtrl"	""	""	2	"Chem"	"NonGlia"	"NonGlia"	"Chem"	"#F8766D"	"#00BE67"
"Chem_NonGliaCtrl"	"Chem"	"PRO738A6"	"Chem_NonGliaCtrl_3"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A6_S18_L002_R1_001.fastq.gz"	"PRO738A6_S18_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_NonGliaCtrl_3_R1.fastq.gz"	6	"Chem_NonGliaCtrl_3"	""	""	""	""	""	"2_Chem_NonGliaCtrl"	""	""	3	"Chem"	"NonGlia"	"NonGlia"	"Chem"	"#F8766D"	"#00BE67"
"Chem_NonGliaCtrl"	"Chem"	"PRO738A8"	"Chem_NonGliaCtrl_4"	"/camp/stp/sequencing/inputs/instruments/fastq/181005_K00102_0263_AH255KBBXY/fastq/RN18120/PRO738A8_S20_L002_R1_001.fastq.gz"	"PRO738A8_S20_L002_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Chem_NonGliaCtrl_4_R1.fastq.gz"	6	"Chem_NonGliaCtrl_4"	""	""	""	""	""	"2_Chem_NonGliaCtrl"	""	""	4	"Chem"	"NonGlia"	"NonGlia"	"Chem"	"#F8766D"	"#00BE67"
"Worm_EnGliaCtrl"	"Worm"	"PRO451A1"	"Worm_EnGliaCtrl_1"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A1_S31_L004_R1_001.fastq.gz"	"PRO451A1_S31_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnGliaCtrl_1_R1.fastq.gz"	1	"Worm_EnGliaCtrl_1"	"1_Worm_EnGliaCtrl"	""	"2_Worm_EnGliaCtrl"	""	""	""	""	""	1	"Worm"	"Glia"	"Glia"	"Worm"	"#00BFC4"	"#00BFC4"
"Worm_EnGliaCtrl"	"Worm"	"PRO451A2"	"Worm_EnGliaCtrl_2"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A2_S32_L004_R1_001.fastq.gz"	"PRO451A2_S32_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnGliaCtrl_2_R1.fastq.gz"	1	"Worm_EnGliaCtrl_2"	"1_Worm_EnGliaCtrl"	""	"2_Worm_EnGliaCtrl"	""	""	""	""	""	2	"Worm"	"Glia"	"Glia"	"Worm"	"#00BFC4"	"#00BFC4"
"Worm_EnGliaCtrl"	"Worm"	"PRO451A3"	"Worm_EnGliaCtrl_3"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A3_S33_L004_R1_001.fastq.gz"	"PRO451A3_S33_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnGliaCtrl_3_R1.fastq.gz"	1	"Worm_EnGliaCtrl_3"	"1_Worm_EnGliaCtrl"	""	"2_Worm_EnGliaCtrl"	""	""	""	""	""	3	"Worm"	"Glia"	"Glia"	"Worm"	"#00BFC4"	"#00BFC4"
"Worm_EnGliaInf"	"Worm"	"PRO451A7"	"Worm_EnGliaInf_1"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A7_S37_L004_R1_001.fastq.gz"	"PRO451A7_S37_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnGliaInf_1_R1.fastq.gz"	3	"Worm_EnGliaInf_1"	""	"1_Worm_EnGliaInf"	"1_Worm_EnGliaInf"	""	""	""	""	"2_Worm_EnGliaInf"	1	"Worm"	"Glia"	"Glia"	"Worm"	"#00BFC4"	"#00A9FF"
"Worm_EnGliaInf"	"Worm"	"PRO451A8"	"Worm_EnGliaInf_2"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A8_S38_L004_R1_001.fastq.gz"	"PRO451A8_S38_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnGliaInf_2_R1.fastq.gz"	3	"Worm_EnGliaInf_2"	""	"1_Worm_EnGliaInf"	"1_Worm_EnGliaInf"	""	""	""	""	"2_Worm_EnGliaInf"	2	"Worm"	"Glia"	"Glia"	"Worm"	"#00BFC4"	"#00A9FF"
"Worm_EnGliaInf"	"Worm"	"PRO451A9"	"Worm_EnGliaInf_3"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A9_S39_L004_R1_001.fastq.gz"	"PRO451A9_S39_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnGliaInf_3_R1.fastq.gz"	3	"Worm_EnGliaInf_3"	""	"1_Worm_EnGliaInf"	"1_Worm_EnGliaInf"	""	""	""	""	"2_Worm_EnGliaInf"	3	"Worm"	"Glia"	"Glia"	"Worm"	"#00BFC4"	"#00A9FF"
"Worm_EnNonGliaCtrl"	"Worm"	"PRO451A4"	"Worm_EnNonGliaCtrl_1"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A4_S34_L004_R1_001.fastq.gz"	"PRO451A4_S34_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnNonGliaCtrl_1_R1.fastq.gz"	5	"Worm_EnNonGliaCtrl_1"	"2_Worm_EnNonGliaCtrl"	""	""	"2_Worm_EnNonGliaCtrl"	""	""	""	""	1	"Worm"	"NonGlia"	"NonGlia"	"Worm"	"#00BFC4"	"#C77CFF"
"Worm_EnNonGliaCtrl"	"Worm"	"PRO451A5"	"Worm_EnNonGliaCtrl_2"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A5_S35_L004_R1_001.fastq.gz"	"PRO451A5_S35_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnNonGliaCtrl_2_R1.fastq.gz"	5	"Worm_EnNonGliaCtrl_2"	"2_Worm_EnNonGliaCtrl"	""	""	"2_Worm_EnNonGliaCtrl"	""	""	""	""	2	"Worm"	"NonGlia"	"NonGlia"	"Worm"	"#00BFC4"	"#C77CFF"
"Worm_EnNonGliaCtrl"	"Worm"	"PRO451A6"	"Worm_EnNonGliaCtrl_3"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A6_S36_L004_R1_001.fastq.gz"	"PRO451A6_S36_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnNonGliaCtrl_3_R1.fastq.gz"	5	"Worm_EnNonGliaCtrl_3"	"2_Worm_EnNonGliaCtrl"	""	""	"2_Worm_EnNonGliaCtrl"	""	""	""	""	3	"Worm"	"NonGlia"	"NonGlia"	"Worm"	"#00BFC4"	"#C77CFF"
"Worm_EnNonGliaInf"	"Worm"	"PRO451A10"	"Worm_EnNonGliaInf_1"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A10_S40_L004_R1_001.fastq.gz"	"PRO451A10_S40_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnNonGliaInf_1_R1.fastq.gz"	7	"Worm_EnNonGliaInf_1"	""	"2_Worm_EnNonGliaInf"	""	"1_Worm_EnNonGliaInf"	""	""	""	""	1	"Worm"	"NonGlia"	"NonGlia"	"Worm"	"#00BFC4"	"#FF61CC"
"Worm_EnNonGliaInf"	"Worm"	"PRO451A11"	"Worm_EnNonGliaInf_2"	"/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A11_S41_L004_R1_001.fastq.gz"	"PRO451A11_S41_L004_R1_001.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/277A_RNAseq_G1_G2_glia_cell_analysis/FASTQ_files/Worm_EnNonGliaInf_2_R1.fastq.gz"	7	"Worm_EnNonGliaInf_2"	""	"2_Worm_EnNonGliaInf"	""	"1_Worm_EnNonGliaInf"	""	""	""	""	2	"Worm"	"NonGlia"	"NonGlia"	"Worm"	"#00BFC4"	"#FF61CC"
